,0,1
1113,K-006456,199701967
1114,K-014320,200400612
1115,K-001032,198300374
1116,K-023171,200801820
1117,K-015671,200403427
1118,K-021828,200708589
1119,K-030986,201306500
1120,K-014621,200401324
1121,K-011835,200201416
1122,K-031214,201307583
1123,K-026218,200905196
1124,K-011544,200200414
1125,K-024516,200808774
1126,K-050375,202000647
1127,K-022330,200710634
1128,K-038167,201600339
1129,K-016237,200410090
1130,K-022466,200711426
1131,K-030198,201207464
1132,K-034215,201404487
1133,K-023208,200802053
1134,K-001755,198601273
1135,K-013259,200301499
1136,K-030833,201306045
1137,K-020987,200704406
1138,K-037959,201508139
1139,K-017315,200501788
1140,K-030173,201207406
1141,K-034814,201405621
1142,K-028921,201108892
1143,K-013934,200308550
1144,K-011844,200201478
1145,K-017497,200502158
1146,K-032738,201400970
1147,K-027600,201004170
1148,K-029736,201205653
1149,K-029588,201203745
1150,K-037822,201507778
1151,K-035190,201500313
1152,K-013614,200302297
1153,K-002937,199000352
1154,K-024587,200809208
1155,K-016567,200500288
1156,K-022371,200710854
1157,K-013007,200300918
1158,K-035231,201500401
1159,K-009412,200002822
1160,K-016912,200500974
1161,K-000551,197900066
1162,K-036353,201502994
1163,K-030842,201306112
1164,K-027046,201000975
1165,K-004524,199400369
1166,K-030148,201207310
1167,K-028130,201100795
1168,K-041432,201701574
1169,K-025276,200901257
1170,K-018146,200511057
1171,K-038279,201600731
1172,K-027184,201001733
1173,K-015828,200403844
1174,K-016546,200500249
1175,K-012130,200202343
1176,K-031028,201306917
1177,K-018541,200600367
1178,K-019700,200608152
1179,K-051116,202002247
1180,K-032484,201400279
1181,K-016041,200404615
1182,K-012632,200300070
1183,K-007843,199901047
1184,K-006241,199701064
1185,K-031876,201309386
1186,K-006664,199702846
1187,K-013440,200301895
1188,K-006549,199702118
1189,K-005877,199602982
1190,K-034297,201404649
1191,K-022713,200713009
1192,K-034237,201404513
1193,K-013511,200302052
1194,K-041666,201702372
1195,K-001732,198601052
1196,K-035833,201501756
1197,K-034208,201404480
1198,K-010235,200009063
1199,K-018144,200511055
1200,K-017713,200502639
1201,K-000573,197900277
1202,K-034812,201405619
1203,K-011942,200201695
1204,K-009451,200003085
1205,K-004014,199300168
1206,K-004637,199401030
1207,K-000817,198200048
1208,K-016127,200404779
1209,K-026198,200905151
1210,K-036955,201504771
1211,K-004744,199401695
1212,K-017117,200501390
1213,K-031090,201307124
1214,K-037757,201507631
1215,K-013353,200301661
1216,K-027821,201005773
1217,K-016904,200500961
1218,K-015270,200402645
1219,K-000317,197500541
1220,K-023483,200803967
1221,K-040335,201605336
1222,K-018408,200600115
1223,K-019762,200608256
1224,K-020967,200704308
1225,K-028517,201103627
1226,K-031179,201307515
1227,K-016652,200500433
1228,K-011220,200108429
1229,K-002691,198900711
1230,K-016422,200411048
1231,K-008959,200001604
1232,K-011875,200201554
1233,K-019309,200606318
1234,K-016394,200410904
1235,K-047998,201905286
1236,K-014847,200401726
1237,K-000406,197700201
1238,K-012766,200300393
1239,K-003476,199101970
1240,K-023410,200803434
1241,K-028509,201103607
1242,K-023719,200805459
1243,K-041657,201702347
1244,K-030044,201206858
1245,K-037667,201507411
1246,K-030157,201207343
